Shop ID;Prod ID;In pieces;In liters;In boxes;1-in pieces, 0-in boxes
130004;5011199921;80;43,2;2;0
130004;5556156801;24;54,96;1;0
130004;9409600168;12;5,88;1;0
130004;9409611170;12;37,08;2;0
130004;9818500001;6;15,66;1;0
130004;9820614701;6;16,5;1;0
130004;9825000026;6;19,8;1;0
130004;9899996502;6;16,86;1;0
130004;9899996503;6;16,86;1;0
130004;9899996548;6;10,38;1;0
130004;9899996615;6;16,5;1;0
130004;9899996637;6;12,66;1;0
130004;9899996638;6;13,08;1;0
130004;9899996797;6;15,18;1;0
130007;1658500136;6;18,84;1;0
130008;1000000220;4;8,08;1;0
130008;1000001230;20;2,8;1;0
130008;1000001574;24;58,32;1;0
130008;1000001633;6;14,4;1;0
130008;1000006232;20;9,2;1;0
130008;1000006839;21;9,87;1;0
130008;1000008379;6;12,42;1;0
130008;1000008924;24;9,6;1;0
130008;1000012378;20;18,2;1;0
130008;1000017155;24;53,52;1;0
130008;1000020726;20;5,4;1;0
130008;1000024372;12;14,64;1;0
130008;1000024381;6;14,82;1;0
130008;1000026144;50;15,5;1;0
130008;1000029331;15;20,25;1;0
130008;1000039517;30;27;1;0
130008;1000044580;14;59,78;1;0
130008;1000044769;20;42,2;1;0
130008;1000045006;24;23,76;1;0
130008;1000051818;16;27,36;1;0
130008;1000054397;12;1,92;1;0
130008;1000060491;19;2,66;1;0
130008;1000073063;12;15,12;1;0
130008;1000074594;32;6,08;1;0
130008;1000075066;42;120,12;7;0
130008;1000075067;18;50,22;3;0
130008;1000080730;12;11,04;1;0
130008;1000081738;2;17,62;2;0
130008;1000083775;12;39,84;2;0
130008;1000083776;6;19,68;1;0
130008;1000083777;6;15,78;1;0
130008;1000083779;18;59,76;3;0
130008;1000085022;24;70,8;1;0
130008;1000085323;16;7,36;1;0
130008;1000090306;7;7,21;1;0
130008;1000090903;26;6,76;1;0
130008;1000095915;12;86,04;2;0
130008;1000096091;6;14,94;1;0
130008;1000097533;9;12,51;1;0
130008;1000103139;4;4;1;0
130008;1000103635;24;14,16;2;0
130008;1000104853;48;32,16;2;0
130008;1000105606;12;5,88;1;0
130008;1000107921;14;18,34;1;0
130008;1000113530;24;3,6;1;0
130008;1000115449;30;13,2;1;0
130008;1000127722;6;10,32;1;0
130008;1000130281;8;34,24;1;0
130008;1000132861;12;8,4;1;0
130008;1000134937;80;176,8;2;0
130008;1005780006;25;3,75;1;0
130008;1009990099;16;26,72;1;0
130008;1016090036;12;18,48;1;0
130008;1019990045;20;4,6;1;0
130008;1032420004;14;6,72;1;0
130008;1036020005;12;6,84;1;0
130008;1042229919;15;7,5;1;0
130008;1042229921;12;39,24;2;0
130008;1049995204;24;26,16;1;0
130008;1051242645;15;8,7;1;0
130008;1056470058;12;2,16;1;0
130008;1059990128;27;5,13;1;0
130008;1059990475;25;16;1;0
130008;1119991010;12;4,8;1;0
130008;1119991614;6;15,42;1;0
130008;1139990450;34;54,4;1;0
130008;1348900009;9;43,92;1;0
130008;1370400001;6;3,9;1;0
130008;1379900004;21;26,04;1;0
130008;1393100213;12;31,32;2;0
130008;1400000192;18;72,72;1;0
130008;1436100001;13;7,93;1;0
130008;1499919653;12;6,12;1;0
130008;1521515002;6;15,12;1;0
130008;1525900003;12;5,64;1;0
130008;1599401504;35;5,25;1;0
130008;1620998009;12;30,6;1;0
130008;1626011001;15;18,45;1;0
